timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,sensor_x,sensor_y,sensor_z
1754658741.3691397,0.10459649562835693,1.0037827491760254,-2.7045607566833496e-05,71.24348652880177,-78.45245036504208,18.20378011056202,0.5268207431334725,-0.4362063977821015,0.46329550716033735,0.563507806863737,-391.2,35.4,237.73
1754658741.5749178,0.10441386699676514,1.0036816596984863,0.013121917843818665,74.51392553224353,-76.9989634009965,14.716370942051695,0.5333413725584857,-0.43071234877572706,0.4535332979456555,0.5695096751955172,-429.4,28.4,380.49
1754658741.7970777,0.1059192419052124,1.002881407737732,0.02565823495388031,74.23278183267772,-76.66527999851759,14.999611731392521,0.5338532835813069,-0.42856136586968696,0.45270807014806064,0.5713065177337506,-437.4,35.0,564.6
1754658742.002295,0.09799093008041382,1.004220962524414,0.02743871510028839,77.5587227382993,-73.34314938217136,11.99857996638375,0.5482651290071348,-0.41052240068324797,0.43735891835799334,0.5827466984623456,-389.0,44.0,662.47
1754658742.2093778,0.07127195596694946,1.0036741495132446,0.005797430872917175,85.93290393115083,-51.97013104676368,2.8217849682250877,0.6203772360805114,-0.30542541457418315,0.31472634883050565,0.6502266117158675,-368.0,-117.8,359.82
1754658742.4310308,0.05265617370605469,1.0053614377975464,-0.014429941773414612,87.31445688557642,-41.707323301899955,1.5627077039908706,0.6485721147279663,-0.24872573632589648,0.25494654069333084,0.6726751708787775,-331.0,-115.2,42.64
1754658742.6365287,0.03775954246520996,1.0085093975067139,-0.025146156549453735,113.95369250121952,-45.159833166500555,-22.15340503795879,0.7195536092195579,-0.35409533113477726,0.21926687041420606,0.5556806384197039,-259.2,-78.0,-34.56
1754658742.8442857,0.03384453058242798,1.0120501518249512,-0.019968628883361816,120.78815091624801,-46.453754888571495,-36.35892033441223,0.6983072771358932,-0.43438341649430856,0.18412714477969264,0.5383075553697843,-187.0,-7.0,-73.32
1754658743.0660057,0.044356465339660645,1.0063412189483643,-0.0011635273694992065,72.78801438810011,-25.20554451460282,2.5428342748311525,0.582793470740466,-0.1627423742892203,0.14685857263871982,0.7824954595830163,-174.6,-50.0,-15.18
1754658743.2713072,0.04136544466018677,1.0106385946273804,-0.0023242980241775513,76.72866321090022,-25.09692266598486,24.470956748492743,0.6281751829508474,-0.03808943556633741,0.2939853982635325,0.7193870047527502,-207.0,-134.4,122.09
